,0
0,Alaska
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Florida
6,Georgia
7,Hawaii
8,Idaho
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,Nevada
24,New Hampshire
25,North Dakota
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Dakota
31,Tennessee
32,Utah
33,Vermont
34,Virginia
35,Washington
36,West Virginia
37,Wisconsin
38,Wyoming
